ID	Income	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Response	Age	Marital_Categories	Edu_Categories	Spent_Total	Living_Alone	AcceptedOffer
1409	40689.0	734945	69	270	3	27	39	6	99	7	7	1	5	8	0	0	0	0	0	0	0	64	1	1	444	2	0
7892	18589.0	734870	89	6	4	25	15	12	13	2	2	1	3	7	0	0	0	0	0	0	0	46	0	1	75	0	0
2404	53359.0	735015	4	173	4	30	3	6	41	4	5	1	4	7	0	0	0	0	0	0	0	39	1	1	257	3	0
9422	38360.0	735019	26	36	2	42	20	21	10	2	2	1	4	3	0	0	0	0	0	0	0	26	1	1	131	2	0
1966	84618.0	735194	96	684	100	801	21	66	0	1	6	9	10	2	0	0	1	0	0	0	0	50	1	3	1672	1	1
6864	10979.0	735375	34	8	4	10	2	2	4	2	3	0	3	5	0	0	0	0	0	0	0	26	0	2	30	0	0
3033	38620.0	734999	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	0	52	1	2	318	1	0
5710	40548.0	734786	31	110	0	5	2	0	3	2	2	1	4	5	0	1	0	0	0	0	0	45	1	1	120	2	1
7373	46610.0	734805	8	96	12	96	33	22	43	6	4	1	6	6	0	0	0	0	0	0	1	63	0	3	302	2	1
8755	68657.0	734919	4	482	34	471	119	68	22	1	3	5	9	7	0	0	0	0	0	0	0	69	1	2	1196	1	0
10738	49389.0	735109	55	40	0	19	2	1	3	1	2	0	3	7	0	0	0	0	0	0	0	64	0	2	65	2	0
4339	67353.0	735233	37	702	17	151	0	8	35	5	5	6	12	2	0	0	0	0	0	0	0	45	1	3	913	2	0
10755	23718.0	735113	76	6	3	14	15	7	36	3	3	1	2	7	0	0	0	0	0	0	0	39	1	2	81	2	0
8595	42429.0	735275	99	55	0	6	2	0	4	2	1	1	3	5	0	0	0	0	0	0	0	42	0	1	67	1	0
2968	48948.0	734900	53	437	8	206	160	49	42	2	7	10	5	6	1	0	0	0	0	0	1	72	0	3	902	0	2
8601	80011.0	734987	3	421	76	536	82	178	102	2	8	6	5	4	0	0	0	0	0	0	0	35	1	1	1395	2	0
503	20559.0	734939	88	13	1	29	3	0	7	2	2	0	3	8	0	0	0	0	0	0	0	30	1	2	53	2	0
8430	21994.0	734861	4	9	0	6	3	1	3	1	0	0	3	5	0	0	0	0	0	0	0	58	1	1	22	2	0
2139	7500.0	735143	19	3	1	10	3	2	12	3	2	0	3	5	0	0	0	0	0	0	0	40	1	2	31	2	0
1371	79941.0	735412	72	123	164	266	227	30	174	1	2	4	9	1	0	0	0	0	0	0	0	39	0	1	984	0	0
9909	7500.0	734816	24	3	18	14	15	22	50	3	3	1	3	9	0	0	0	0	0	0	1	19	1	2	122	1	1
7286	41728.0	735012	92	13	6	15	3	5	13	1	2	0	2	10	0	0	0	0	0	0	0	47	1	1	55	2	0
6566	72550.0	734815	39	826	50	317	50	38	38	9	5	2	12	8	0	0	0	0	0	0	0	61	1	3	1319	3	0
8614	65486.0	735365	29	245	19	125	37	67	14	1	4	2	10	2	0	0	0	0	0	0	0	58	0	1	507	1	0
4114	79143.0	734726	2	650	37	780	27	167	32	1	6	9	13	3	0	0	0	0	0	0	0	51	1	2	1693	1	0
1331	35790.0	734870	54	12	6	20	30	1	3	2	2	0	3	7	0	0	0	0	0	0	0	38	0	1	72	1	0
2225	82582.0	735391	54	510	120	550	156	40	241	1	4	9	7	1	1	0	0	1	0	0	1	38	0	1	1617	0	3
9381	66373.0	735031	57	328	9	124	12	24	109	7	4	2	10	3	0	0	0	0	0	0	0	37	1	1	606	3	0
6260	82384.0	734826	55	984	51	432	180	120	190	1	3	10	13	1	0	0	1	0	0	0	1	60	1	2	1957	1	2
10383	70287.0	734960	30	295	35	482	121	120	40	1	5	5	10	3	0	0	0	0	0	0	1	49	0	1	1093	0	1
7437	27938.0	735351	31	13	0	8	2	1	5	1	1	0	4	3	0	0	0	0	0	0	0	27	0	1	29	1	0
8375	55954.0	735295	63	447	0	28	0	0	43	3	8	2	6	7	0	0	0	0	0	0	0	47	1	3	518	2	0
6853	75777.0	735053	12	712	26	538	69	13	80	1	3	6	11	1	0	1	1	0	0	0	1	33	0	2	1438	0	3
3076	66653.0	734753	18	452	18	102	16	18	6	4	4	2	12	3	0	0	0	0	0	0	0	40	1	1	612	3	0
1012	61823.0	734917	26	523	7	134	37	14	169	4	8	2	10	7	0	0	0	0	0	0	0	63	0	1	884	1	0
6518	67680.0	735030	8	546	0	48	0	6	6	1	7	3	8	5	0	0	0	0	0	0	0	64	0	3	606	1	0
4137	70666.0	735208	29	398	40	367	119	122	30	1	7	4	4	4	0	0	0	0	0	0	0	67	1	1	1076	1	0
8082	25721.0	735009	75	1	3	6	3	6	15	1	1	1	2	7	0	0	0	0	0	0	1	44	1	1	34	2	1
1386	32474.0	735364	0	10	0	1	0	0	0	1	1	0	2	7	0	0	0	0	0	0	0	48	1	1	11	3	0
9369	88194.0	735311	19	688	14	309	201	24	38	1	11	10	10	5	1	0	0	1	0	0	1	36	0	2	1274	1	3
4477	69096.0	735138	4	247	49	159	7	82	109	1	5	2	10	4	0	0	0	0	0	0	0	57	1	1	653	2	0
1357	74854.0	734966	90	856	59	487	58	29	73	7	2	5	5	5	0	0	0	0	0	0	0	45	1	1	1562	4	0
1402	66991.0	734757	1	496	36	460	189	60	12	3	4	8	6	3	0	0	0	0	0	0	0	61	1	2	1253	1	0
6312	65031.0	734944	29	258	107	291	84	37	86	4	10	3	13	7	0	0	0	0	0	0	0	56	1	1	863	2	0
8132	60631.0	734963	88	565	6	65	0	6	19	5	9	2	8	7	0	1	0	0	0	0	0	40	1	3	661	3	1
1050	28332.0	735353	58	14	10	13	4	15	9	1	2	1	4	2	0	0	0	0	0	0	0	63	1	1	65	1	0
5846	40246.0	734856	68	2	1	6	2	1	1	1	1	0	2	6	0	0	0	0	0	0	0	38	0	1	13	1	0
1859	75251.0	734742	34	721	111	925	97	18	18	1	7	6	5	5	0	0	0	0	0	0	1	43	1	2	1890	1	1
7503	75825.0	734788	40	1032	105	779	137	105	51	0	5	8	9	4	1	0	0	0	0	0	1	39	0	1	2209	0	2
10401	26326.0	735115	12	1	0	5	0	3	9	1	0	0	3	3	0	0	0	0	0	1	0	39	1	2	18	1	0
1618	56046.0	734870	9	577	0	64	0	0	51	2	10	1	8	8	1	0	0	0	0	0	1	50	1	1	692	1	2
3332	29760.0	734744	87	64	4	68	7	5	17	4	3	1	4	8	0	0	0	0	0	0	0	30	0	1	165	1	0
2261	26304.0	735042	5	4	1	5	2	0	4	1	1	0	2	7	0	0	0	0	0	0	0	46	1	1	16	2	0
5346	23559.0	735052	87	25	5	19	7	0	23	3	3	0	3	7	0	0	0	0	0	0	0	42	1	2	79	2	0
4119	38620.0	734999	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	0	52	1	2	318	1	0
535	81361.0	735289	18	163	23	424	27	65	76	1	3	10	13	1	0	0	0	0	0	0	0	28	0	1	778	0	0
5268	29440.0	735091	95	17	8	14	10	4	3	2	1	0	4	7	0	0	0	0	0	0	0	55	1	1	56	3	0
273	36138.0	735065	48	130	0	16	0	0	5	5	3	1	4	7	0	1	0	0	0	0	0	45	1	2	151	3	1
4452	50388.0	735381	3	292	6	37	0	3	34	4	6	1	6	7	0	1	0	1	0	0	1	58	0	1	372	1	3
8504	79593.0	735365	70	350	60	568	110	133	145	1	5	6	7	2	0	0	1	0	0	0	0	42	1	1	1366	1	1
771	54178.0	735254	79	135	9	39	4	0	7	1	2	2	5	2	0	0	0	0	0	0	0	48	1	1	194	2	0
11178	42394.0	735315	69	15	2	10	0	1	4	1	1	0	3	7	0	0	0	0	0	0	0	43	0	2	32	1	0
2230	23626.0	735377	84	27	2	14	0	0	0	3	3	1	3	5	0	0	0	0	0	0	0	45	1	3	43	2	0
7516	30096.0	735375	30	5	3	11	12	5	9	1	2	0	3	6	0	0	0	0	0	0	0	32	1	1	45	2	0
7247	47916.0	734829	72	505	0	26	0	0	75	5	7	4	6	6	0	1	0	0	0	0	0	55	0	1	606	1	1
11100	51813.0	734969	37	51	2	7	0	1	2	2	2	0	3	7	0	0	0	0	0	0	0	43	0	1	63	2	0
4646	78497.0	735203	44	207	26	447	75	0	223	1	5	7	12	2	0	0	0	1	0	0	0	64	1	2	978	1	1
3037	50150.0	735039	32	135	46	92	65	61	11	2	5	2	7	5	0	0	0	0	0	0	0	32	1	3	410	1	0
1473	47823.0	735072	0	53	1	5	2	1	10	2	2	0	3	8	0	0	0	0	0	0	0	55	0	2	72	1	0
1016	34554.0	735322	43	41	1	6	2	0	5	2	2	0	3	6	0	0	0	0	0	0	0	56	0	3	55	1	0
4518	85693.0	734978	59	386	172	183	185	132	111	2	9	5	11	5	0	0	0	0	0	0	0	36	1	1	1169	2	0
9370	65846.0	735005	68	562	81	276	80	40	81	1	6	3	6	4	0	0	0	0	0	0	0	70	1	3	1120	1	0
8908	87195.0	735361	35	217	76	690	50	26	38	1	3	11	5	1	0	0	0	0	0	0	1	56	1	1	1097	1	1
8373	24594.0	735212	94	1	3	6	10	0	9	1	1	0	3	5	0	0	0	0	0	0	0	36	1	0	29	2	0
7533	49096.0	735135	15	144	1	32	2	1	7	4	4	1	4	7	0	0	0	0	0	0	0	51	1	1	187	3	0
2683	52413.0	734901	56	295	106	271	75	98	65	4	6	4	12	6	0	0	0	0	0	0	0	46	1	1	910	3	0
3629	38557.0	734856	17	76	3	31	4	4	27	2	3	1	3	7	0	0	0	0	0	0	0	37	0	1	145	1	0
10991	89058.0	734844	18	454	194	106	31	22	43	1	5	4	4	2	0	0	0	0	0	0	0	55	1	2	850	1	0
5077	77298.0	735174	46	425	115	292	23	35	79	1	6	6	11	3	0	0	0	0	0	0	0	36	1	1	969	2	0
7431	68126.0	734817	40	1332	17	311	23	51	86	1	7	4	5	9	0	1	0	0	0	0	1	24	0	3	1820	0	2
3267	57288.0	735409	27	527	0	21	0	0	60	3	8	1	8	6	0	1	0	0	0	0	0	52	1	2	608	2	1
999	86037.0	734870	95	490	44	125	29	20	22	1	6	7	11	3	0	1	1	0	0	0	1	24	0	1	730	0	3
9215	43974.0	734849	19	378	0	101	0	0	72	5	6	4	6	7	0	0	0	0	0	0	0	35	1	3	551	2	0
2286	50785.0	735121	27	64	1	21	0	1	27	2	2	1	3	6	0	0	0	0	0	0	0	53	0	1	114	2	0
1592	90765.0	735257	25	547	99	812	151	82	33	0	4	6	5	1	0	0	1	1	0	0	0	45	1	1	1724	1	2
367	36550.0	734918	74	47	90	94	123	103	120	5	9	1	5	9	0	0	0	0	0	0	0	37	1	2	577	2	0
5234	30753.0	735060	85	12	5	25	0	9	30	2	1	1	3	5	0	0	0	0	0	0	0	48	1	2	81	3	0
9862	21918.0	735186	37	1	6	7	11	5	3	2	2	0	3	6	0	0	0	0	0	0	0	46	1	1	33	2	0
9805	56129.0	735039	65	320	48	133	39	72	48	4	6	2	10	4	0	0	0	0	0	0	0	62	1	2	660	2	0
6205	32557.0	735288	13	34	3	29	0	4	10	3	2	1	3	5	0	0	0	0	0	0	1	48	0	2	80	1	1
8442	19510.0	735115	63	9	0	7	3	4	7	2	1	0	3	7	0	0	0	0	0	0	0	30	1	2	30	3	0
7386	30992.0	734980	83	17	0	14	7	3	2	1	1	0	3	7	0	0	0	0	0	0	0	39	0	1	43	1	0
7215	101970.0	734939	69	722	27	102	44	72	168	0	6	8	13	2	0	1	1	1	0	0	1	32	0	1	1135	0	4
1491	71488.0	734917	87	162	33	124	40	28	172	2	3	4	7	1	0	0	0	0	0	0	0	50	1	2	559	1	0
11071	79607.0	734979	37	450	133	951	173	0	216	1	3	6	6	1	0	0	0	0	0	0	1	31	0	1	1923	0	1
3381	54348.0	735392	51	70	0	16	0	0	4	2	2	0	4	6	0	0	0	0	0	0	0	62	1	2	90	3	0
11051	77376.0	735363	72	492	19	110	16	12	12	4	6	3	10	4	0	0	0	0	0	0	0	59	1	3	661	3	0
8026	62998.0	735141	10	120	58	73	65	89	58	5	5	4	5	5	0	0	0	0	0	0	0	63	1	1	463	2	0
433	61331.0	734937	42	534	5	47	0	5	41	5	11	1	6	8	0	0	0	0	0	0	0	57	0	2	632	2	0
9597	73448.0	735274	10	236	106	189	23	41	130	1	7	2	9	4	0	0	0	0	0	0	0	46	1	1	725	1	0
5290	41551.0	735094	51	220	0	33	3	0	23	5	5	1	5	8	0	0	0	0	0	0	0	51	1	3	279	3	0
1685	62981.0	734944	21	796	14	590	38	44	0	1	4	5	13	3	0	1	0	0	0	0	0	48	1	3	1482	1	1
5342	9548.0	734723	31	0	1	3	10	6	9	2	1	0	3	8	0	0	0	0	0	0	0	39	0	0	29	1	0
9579	33762.0	735056	61	53	1	34	2	0	16	3	2	2	2	8	0	0	0	0	0	0	0	56	1	3	106	4	0
7660	35860.0	735372	37	15	0	8	4	2	20	2	1	1	2	5	1	0	0	0	0	0	1	42	0	3	49	2	2
1461	36921.0	735077	74	17	1	12	3	1	4	2	2	0	3	7	0	0	0	0	0	0	0	50	0	3	38	2	0
821	92859.0	734795	46	962	61	921	52	61	20	1	5	4	12	2	0	0	0	0	0	0	0	23	0	2	2077	0	0
11084	65104.0	735186	4	738	0	232	13	20	50	2	3	5	7	7	0	0	0	0	0	0	1	39	1	2	1053	2	1
8690	86111.0	734977	73	399	28	756	36	40	126	1	5	7	10	2	0	0	0	0	0	0	0	53	1	1	1385	1	0
2937	68352.0	735108	47	614	16	132	43	33	33	3	8	5	9	6	0	0	0	0	0	0	0	41	0	3	871	1	0
9701	41883.0	734946	13	32	34	41	73	16	116	3	4	2	3	7	0	0	0	0	0	0	0	27	1	1	312	2	0
9949	59809.0	734794	36	598	16	141	32	41	49	3	3	3	6	8	0	0	0	0	0	0	0	39	1	1	877	3	0
10837	23957.0	734804	47	2	1	18	20	11	16	1	2	0	3	6	0	0	0	0	0	0	1	40	1	1	68	2	1
3120	38547.0	735108	49	6	1	10	0	1	4	1	1	0	2	8	0	0	0	0	0	1	0	34	1	1	22	2	0
5885	35688.0	734737	94	73	3	90	12	1	32	7	4	1	4	8	0	0	0	0	0	0	0	42	1	2	211	4	0
4050	49605.0	735405	65	42	16	29	12	20	8	1	2	1	4	3	0	0	0	0	0	0	0	49	1	2	127	1	0
3830	59354.0	735347	59	295	21	78	39	13	13	1	4	4	7	3	0	0	0	0	0	0	0	62	1	2	459	3	0
7987	65747.0	735299	96	346	17	48	23	13	13	4	8	1	6	6	0	1	0	0	0	0	0	46	1	1	460	2	1
7798	46344.0	734851	28	233	20	57	8	20	91	4	7	1	5	7	0	0	0	0	0	0	0	43	1	2	429	2	0
92	34176.0	735365	12	5	7	24	19	14	20	4	3	0	4	6	0	0	0	0	0	0	0	27	0	1	89	1	0
7055	61010.0	734785	57	888	0	57	0	0	76	2	8	5	11	5	0	0	0	0	0	0	0	63	1	3	1021	2	0
10240	69372.0	734918	10	997	26	269	34	13	42	1	10	4	6	4	0	1	1	0	0	0	1	66	1	1	1381	1	3
3025	49967.0	735057	4	212	6	69	4	12	3	3	6	1	5	7	0	0	0	0	0	0	0	57	0	1	306	1	0
9283	60199.0	735123	49	8	1	7	2	0	0	1	0	0	3	4	0	0	0	0	0	0	0	37	0	1	18	3	0
9970	55375.0	735158	3	42	11	57	10	28	14	1	1	1	6	2	0	0	0	0	0	0	0	38	1	1	162	2	0
2730	80317.0	735100	64	536	11	387	149	91	57	1	3	4	10	1	0	0	0	0	0	0	0	60	0	1	1231	0	0
2795	30523.0	735050	0	5	0	3	0	0	5	1	1	0	2	7	0	0	0	0	0	0	0	57	0	2	13	3	0
9260	70356.0	734812	20	1349	16	249	43	16	33	2	10	6	9	6	0	0	0	0	0	0	0	70	1	3	1706	1	0
8182	23228.0	735238	91	53	3	49	7	4	5	4	3	0	4	8	0	0	0	0	0	0	0	31	1	1	121	2	0
10095	74165.0	734989	9	1001	12	240	16	12	12	1	5	4	10	2	0	0	0	0	0	0	0	40	0	3	1293	0	0
8475	157243.0	735293	98	20	2	1582	1	2	1	15	0	22	0	0	0	0	0	0	0	0	0	42	1	3	1608	2	0
4370	43482.0	735185	83	18	1	32	6	3	28	3	2	0	4	6	0	0	0	0	0	0	0	49	1	1	88	4	0
10573	62551.0	735190	27	125	16	98	134	21	27	1	6	7	4	3	1	0	0	0	0	0	0	62	0	1	421	0	1
3712	52332.0	735108	63	212	5	33	7	0	2	1	3	2	6	4	0	1	0	0	0	0	0	56	0	1	259	0	1
6637	66951.0	735174	46	277	162	305	173	76	124	1	3	4	7	1	0	0	0	0	0	0	0	27	0	1	1117	0	0
3152	26091.0	735289	84	15	10	19	8	17	20	3	2	1	3	5	0	0	0	0	0	0	0	58	1	1	89	3	0
5610	33456.0	735344	58	7	3	10	8	1	7	2	1	0	3	7	0	0	0	0	0	0	0	50	1	1	36	3	0
6460	28718.0	735062	78	12	4	6	11	8	16	2	2	0	3	8	0	0	0	0	0	0	0	33	1	1	57	2	0
1349	50447.0	735344	4	85	7	24	2	3	27	1	3	1	3	6	0	0	0	0	0	0	0	45	1	1	148	3	0
1880	53537.0	735263	17	81	0	6	0	0	6	2	2	1	3	5	0	0	0	0	0	0	0	56	1	3	93	3	0
641	52074.0	735327	77	59	0	12	0	0	48	1	2	2	2	4	1	0	0	0	0	0	0	48	0	1	119	1	1
8717	80427.0	734758	56	1149	71	449	69	71	26	1	11	8	8	5	0	0	0	0	0	0	0	40	1	3	1835	2	0
10314	83837.0	734853	79	847	66	119	86	89	111	1	9	10	5	4	0	1	0	1	0	0	1	67	1	3	1318	1	3
10854	38853.0	735376	90	29	0	14	0	0	2	2	2	0	3	7	0	0	0	0	0	0	0	45	1	3	45	3	0
10492	38285.0	735408	96	2	0	5	2	0	1	1	0	0	3	2	0	0	0	0	0	0	0	56	1	1	10	4	0
6935	78497.0	735203	44	207	26	447	75	0	223	1	5	7	12	2	0	0	0	1	0	0	0	64	1	2	978	1	1
7698	51650.0	735364	81	152	3	22	2	5	7	1	4	1	4	5	0	0	0	0	0	0	0	39	1	3	191	2	0
3559	16248.0	735363	77	12	11	10	3	12	9	3	2	1	3	6	0	0	0	0	0	0	0	27	1	2	57	2	0
10562	66835.0	735139	21	620	26	195	34	17	141	1	6	4	13	2	0	0	0	0	0	0	0	69	1	2	1033	1	0
10796	30477.0	735255	16	47	1	6	0	0	12	1	1	1	3	6	0	0	0	0	0	0	0	31	1	2	66	2	0
2563	28249.0	735399	80	1	9	7	2	14	10	1	2	0	3	6	0	0	0	0	0	0	0	54	1	0	43	1	0
3518	25271.0	734842	45	10	1	18	10	4	7	1	1	1	2	9	0	0	0	0	0	0	0	32	1	1	50	2	0
5823	32303.0	735300	63	35	0	2	0	0	2	2	1	0	4	5	0	0	0	0	0	0	0	45	0	3	39	1	0
3934	61286.0	735082	34	356	0	107	19	9	117	2	7	1	8	5	0	0	0	0	0	0	0	49	1	1	608	2	0
6982	74068.0	734946	14	783	30	537	140	76	15	1	4	10	9	2	0	0	0	0	0	0	0	39	1	1	1581	1	0
6431	45759.0	734922	13	42	1	18	3	0	4	2	2	0	3	7	0	0	0	0	0	0	0	51	1	3	68	3	0
9733	24882.0	734755	52	1	4	10	29	0	36	1	1	1	2	6	1	0	0	0	0	0	0	37	1	0	80	2	1
5602	66973.0	735005	98	466	22	432	147	113	102	1	8	7	12	3	0	0	0	0	0	0	0	26	1	3	1282	1	0
1324	38872.0	735018	93	23	3	21	3	19	22	2	3	0	3	8	0	0	0	0	0	0	0	27	1	1	91	2	0
326	51148.0	734917	38	235	6	45	8	9	12	4	5	1	6	6	0	0	0	0	0	0	0	42	1	1	315	3	0
7224	31353.0	735231	24	10	0	10	3	1	7	2	1	1	2	8	0	0	0	0	0	0	0	38	1	1	31	3	0
6999	69661.0	735366	80	656	16	106	32	16	8	1	7	3	12	3	0	0	0	0	0	0	0	35	1	2	834	1	0
9938	80067.0	735130	82	519	17	813	27	173	51	1	4	6	6	2	0	0	1	0	0	0	0	61	1	1	1600	1	1
6422	86718.0	734885	20	344	189	482	50	33	172	1	5	6	5	2	0	0	0	0	0	0	0	61	1	1	1270	1	0
3182	46854.0	735323	81	96	1	79	7	1	79	6	5	1	3	8	1	0	0	0	0	0	1	42	0	3	263	2	2
7300	69142.0	735413	50	448	4	34	6	4	39	3	8	1	7	5	0	1	0	0	0	0	0	63	0	1	535	1	1
10424	75922.0	735211	60	265	138	553	224	23	92	1	4	4	9	1	0	0	0	0	0	0	0	47	0	1	1295	0	0
8727	63693.0	735155	63	587	43	337	42	87	54	3	11	6	9	6	0	0	0	0	0	0	0	37	0	1	1150	1	0
2798	102160.0	734809	54	763	29	138	76	176	58	0	7	9	10	4	0	1	1	1	0	0	1	38	1	3	1240	1	4
1030	40637.0	735066	72	22	0	13	0	0	3	2	1	0	3	7	0	0	0	0	0	0	0	50	0	3	38	2	0
624	18890.0	734817	5	6	4	1	7	2	15	1	0	1	2	6	1	0	0	0	0	0	1	31	0	2	35	0	2
5176	29604.0	735210	88	7	6	13	7	6	14	1	1	0	3	9	1	0	0	0	0	0	0	27	1	1	53	2	1
5552	48721.0	735001	50	81	18	113	47	13	21	6	4	2	5	6	0	0	0	0	0	0	0	52	0	2	293	2	0
868	44794.0	735392	99	54	0	7	0	0	4	1	2	0	3	6	0	0	0	0	0	0	0	49	1	1	65	2	0
380	64497.0	734756	17	1170	48	320	42	32	192	5	11	4	9	8	1	0	0	0	0	0	1	61	0	1	1804	1	2
2677	46097.0	734958	11	72	24	68	65	4	8	5	3	1	6	4	0	0	0	0	0	0	0	59	1	1	241	2	0
6521	77972.0	735310	18	613	22	319	33	102	12	1	4	6	9	1	0	0	0	0	0	0	0	61	1	1	1101	1	0
6927	44377.0	734781	70	224	0	30	0	0	10	8	5	1	5	8	0	0	0	0	0	0	0	47	1	3	264	3	0
2877	46014.0	734889	21	410	0	59	19	9	44	10	7	1	8	7	0	0	0	0	0	0	0	41	1	2	541	3	0
0	70951.0	734992	66	239	10	554	254	87	54	1	3	4	9	1	0	0	0	0	0	0	0	30	1	1	1198	1	0
1584	41443.0	735324	79	171	7	171	25	19	89	6	8	1	5	8	0	0	0	0	0	0	0	38	1	1	482	2	0
7264	52195.0	735365	2	12	0	4	0	0	1	1	1	0	2	8	0	0	0	0	0	0	0	37	0	2	17	3	0
6274	83790.0	735187	81	1076	16	417	42	48	16	1	8	10	6	3	0	1	1	0	0	0	0	67	1	2	1615	1	2
1377	44551.0	735111	24	182	4	33	0	0	66	2	4	1	5	7	0	0	0	0	0	0	0	61	0	2	285	1	0
454	69508.0	734821	48	824	32	162	42	32	43	2	11	4	11	6	0	0	0	0	0	0	0	35	1	1	1135	2	0
1755	45204.0	735334	93	30	11	25	29	1	18	1	1	1	4	3	0	0	0	0	0	0	0	27	1	2	114	2	0
2075	72460.0	735186	56	377	10	540	80	30	10	1	3	5	7	1	0	0	0	0	0	0	0	46	1	1	1047	1	0
4785	77622.0	735337	3	520	7	154	19	0	14	2	6	3	11	3	0	0	0	0	0	0	0	45	1	3	714	3	0
9076	30732.0	734873	44	155	1	25	0	1	3	4	4	1	4	8	0	0	0	0	0	0	0	35	1	3	185	2	0
7079	63887.0	734754	38	897	23	207	15	11	92	5	9	6	12	6	0	0	0	0	0	0	0	53	0	1	1245	1	0
4653	42011.0	734953	46	131	0	16	2	1	39	4	3	1	4	8	0	0	0	0	0	0	0	37	1	1	189	2	0
7375	51369.0	734801	84	297	7	79	0	11	182	2	8	2	4	8	0	0	0	0	0	0	0	39	1	1	576	2	0
709	51537.0	734846	27	787	20	204	0	0	92	3	2	2	11	8	0	0	0	0	0	0	0	63	0	1	1103	1	0
460	79930.0	734723	72	792	86	740	67	51	17	1	3	5	8	2	0	0	0	0	0	0	0	43	1	3	1753	1	0
3726	34320.0	735280	66	4	1	9	3	0	0	1	1	0	2	8	0	0	0	0	0	0	0	29	1	3	17	2	0
6798	37070.0	734947	30	231	7	137	4	15	39	9	5	1	8	7	0	0	0	0	0	0	1	49	0	1	433	2	1
5341	81975.0	734873	2	983	76	184	180	138	27	1	6	3	4	7	0	0	1	0	0	0	0	53	0	2	1588	1	1
1606	38590.0	735003	65	3	1	8	4	3	3	1	1	0	2	8	0	0	0	0	0	0	0	44	1	1	22	2	0
